STATUS,sEXT,sNEU,sAGR,sCON,sOPN,SENTIMENT
believ cell phone offici broken beyond repair,2.25,3.5,3.25,2.75,2.25,-0.4767
chillin count crow,2.25,3.5,3.25,2.75,2.25,0.0
haha realli safeti win go heel,2.25,3.5,3.25,2.75,2.25,0.7783
think read book somewher sure book sure wasnt noth oh ya,2.25,3.5,3.25,2.75,2.25,0.5574
appar your golfer,2.25,3.5,3.25,2.75,2.25,0.0
dont know thang yah idea,2.25,3.5,3.25,2.75,2.25,0.0
c legal write suck r someth deem suck take innordin amount time complet mind numb silenc slowli drive fuck crazi e berkovitch determin work pennoy outdat case bear actual modern day law suck took 5 hour drove fuck crazi,2.25,3.5,3.25,2.75,2.25,-0.9485
bewar uncag coral,2.25,3.5,3.25,2.75,2.25,0.0
divin apathi diseas youth watch dont catch say son time luck need,2.25,3.5,3.25,2.75,2.25,0.4588
wish time watch steeler stomp bear,2.25,3.5,3.25,2.75,2.25,0.4019
thank,2.25,3.5,3.25,2.75,2.25,0.3612
damn feel good gangster,2.25,3.5,3.25,2.75,2.25,0.0516
take part disturb nap probabl end life youv warn,2.25,3.5,3.25,2.75,2.25,-0.4767
pc load letter fuck mean,2.25,3.5,3.25,2.75,2.25,-0.5423
sometim take chanc sometim take pill write better ever felt,2.25,3.5,3.25,2.75,2.25,0.4404
teenag vow park lot till tonight us part haha love,2.25,3.5,3.25,2.75,2.25,0.802
3 law school,2.25,3.5,3.25,2.75,2.25,0.0
shit bercovitch made yanke hat popular yanke,2.25,3.5,3.25,2.75,2.25,-0.2023
sigh,2.25,3.5,3.25,2.75,2.25,0.0258
checkin new gym,2.25,3.5,3.25,2.75,2.25,0.0
great ambit conquest without contribut without signific,2.25,3.5,3.25,2.75,2.25,0.6249
want shit forev man,2.25,3.5,3.25,2.75,2.25,-0.5106
dear homeown apolog contribut destruct plastic fenc though pleas know inde reach destin rock cock okay realli rock,2.25,3.5,3.25,2.75,2.25,-0.1027
must quarter life crisi,2.25,3.5,3.25,2.75,2.25,0.0
suggest learn love made illeg,2.25,3.5,3.25,2.75,2.25,0.6369
chivalri timelin propnam haha,2.25,3.5,3.25,2.75,2.25,0.4588
checkin dougi like she patti mayonnais realli peopl get paid come shit second guess career path shoulda rapper could total pull grill,2.25,3.5,3.25,2.75,2.25,-0.2732
leebrari,2.25,3.5,3.25,2.75,2.25,0.0
tort aka intro ambul chase,2.25,3.5,3.25,2.75,2.25,0.0
q back,2.25,3.5,3.25,2.75,2.25,0.0
shit didnt pass bar know littl bit enough wont illeg search shit,2.25,3.5,3.25,2.75,2.25,-0.802
time luck need,2.25,3.5,3.25,2.75,2.25,0.4588
re ipsa loquitur sed quid inferno dicet,2.25,3.5,3.25,2.75,2.25,0.0
hey what favorit planet mine sun caus like king planet,2.25,3.5,3.25,2.75,2.25,0.3612
danger time coalit reason extrem weak,2.25,3.5,3.25,2.75,2.25,-0.743
schedul next semest suck ball,2.25,3.5,3.25,2.75,2.25,-0.4404
anyon civ pro paper,2.25,3.5,3.25,2.75,2.25,0.0
paid everyth roll dice one time,2.25,3.5,3.25,2.75,2.25,0.0
feel stupid someth come goe,2.25,3.5,3.25,2.75,2.25,-0.5267
sue ok chang pic fb suck mother facebook chat know look like shit mother call lol,2.25,3.5,3.25,2.75,2.25,0.0
quot day ex themhav saggi ball slap u sex discust thing ever,2.25,3.5,3.25,2.75,2.25,0.1531
28 usc 76 excus play like champion,2.25,3.5,3.25,2.75,2.25,0.8316
left stand make million write book way,2.25,3.5,3.25,2.75,2.25,0.0
pardon burst,2.25,3.5,3.25,2.75,2.25,0.3182
propnam smore menu appar im go forc eat one within next five minut feel like im damn campfir,2.25,3.5,3.25,2.75,2.25,-0.0516
saw truck come step ga order becom airborn knew could fli batman 173 nw2d 619 wisc 1970,2.25,3.5,3.25,2.75,2.25,0.0
new droid phone sweetest phone ever xma come earli bitch,2.25,3.5,3.25,2.75,2.25,-0.5859
funni way think one kid walk 10 mile school anoth drop,2.25,3.5,3.25,2.75,2.25,-0.2732
want puppi dammit,2.25,3.5,3.25,2.75,2.25,0.0772
nap suck someon shoulda woke dammit,2.25,3.5,3.25,2.75,2.25,-0.4404
coincid god way remain anonym einstein,2.25,3.5,3.25,2.75,2.25,0.2732
perfect mean confus aim seem main problem,2.25,3.5,3.25,2.75,2.25,0.25
begin understand correl titl esquir alcohol,2.25,3.5,3.25,2.75,2.25,0.0
damn oliet,2.25,3.5,3.25,2.75,2.25,-0.4019
steeler,2.25,3.5,3.25,2.75,2.25,0.0
said filipino that nation thank cam,2.25,3.5,3.25,2.75,2.25,0.3612
headlin read defend hang juri doesnt,2.25,3.5,3.25,2.75,2.25,0.0
anyon els intern law next semest,2.25,3.5,3.25,2.75,2.25,0.0
im like fat kid dodg ball,2.25,3.5,3.25,2.75,2.25,0.3612
memoathon weekend,2.25,3.5,3.25,2.75,2.25,0.0
steeler,2.25,3.5,3.25,2.75,2.25,0.0
gym back leebrari wow,2.25,3.5,3.25,2.75,2.25,0.5859
villanova wildcat georgetown hoya,2.25,3.5,3.25,2.75,2.25,0.0
1l week,2.25,3.5,3.25,2.75,2.25,0.0
got tire learn law abstract decid id go ahead cop issu citat court appear yay field trip,2.25,3.5,3.25,2.75,2.25,0.5267
volcano insur weve never volcano erupt well dont think due one propnam,2.25,3.5,3.25,2.75,2.25,-0.2057
90 music iswa shit,2.25,3.5,3.25,2.75,2.25,-0.5574
got five,2.25,3.5,3.25,2.75,2.25,0.0
nm found,2.25,3.5,3.25,2.75,2.25,0.0
tell think itd alright crash tonight see im shape drive anyway got place go,2.25,3.5,3.25,2.75,2.25,-0.1779
fuck memo take 5 hour drive reason person fuck crazi c therefor legal write fuck suck,2.25,3.5,3.25,2.75,2.25,-0.9169
grave digger dig grave could make shallow feel rain,2.25,3.5,3.25,2.75,2.25,-0.6369
im like lawyer way im alway tri get,2.25,3.5,3.25,2.75,2.25,0.3612
long sinc ive seen ocean guess,2.25,3.5,3.25,2.75,2.25,0.0
dream provid whether mice men get second tri,2.25,3.5,3.25,2.75,2.25,0.25
facebook go creat dislik button,2.25,3.5,3.25,2.75,2.25,0.0
jÃ¤g Ã¤slkar sverig d4,2.65,1.7,3.95,3.0,3.15,0.0
sweden d1,2.65,1.7,3.95,3.0,3.15,0.0
6 till sweden 3,2.65,1.7,3.95,3.0,3.15,0.0
bestanden,2.65,1.7,3.95,3.0,3.15,0.0
morgen rettungshelferprÃ¼fung,2.65,1.7,3.95,3.0,3.15,0.0
bought woa ticket,2.65,1.7,3.95,3.0,3.15,0.0
happi anniversari hubbi 3 3 year marri today cant tell humid lol,3.25,1.75,3.75,4.75,4.25,-0.3252
time 1st time long long time,3.25,1.75,3.75,4.75,4.25,0.0
keep swim keep swim swim propnam find nemo stuck head forev phase lol,3.25,1.75,3.75,4.75,4.25,0.2023
seawe alway greener somebodi els lake,3.25,1.75,3.75,4.75,4.25,0.0
pack clean wipe littl nose,3.25,1.75,3.75,4.75,4.25,0.4019
great week everyon see next week return famili fun 3,3.25,1.75,3.75,4.75,4.25,0.8126
pack cant wait one last blast summer 3 turk caico,3.25,1.75,3.75,4.75,4.25,0.0
croup let nighttim fun begin,3.25,1.75,3.75,4.75,4.25,0.5106
nebul fun tonight,3.25,1.75,3.75,4.75,4.25,0.5106
laundri done ahhhhhhhhh lol,3.25,1.75,3.75,4.75,4.25,0.4215
still dont get twitter even im offici touch someth like,3.25,1.75,3.75,4.75,4.25,0.3612
eye eye leav whole world blind,3.25,1.75,3.75,4.75,4.25,-0.4019
boo zoo trick treat 2009 awesom,3.25,1.75,3.75,4.75,4.25,0.3612
edit person statement graduat school,3.25,1.75,3.75,4.75,4.25,0.0
nyu graduat applic complet,3.25,1.75,3.75,4.75,4.25,0.0
let go yankeeeesss,3.25,1.75,3.75,4.75,4.25,0.0
rain drop keep fall head,3.25,1.75,3.75,4.75,4.25,-0.2732
happi halloween,3.25,1.75,3.75,4.75,4.25,0.0
ever humbl love bed 3,3.25,1.75,3.75,4.75,4.25,0.6369
write person statement graduat school,3.25,1.75,3.75,4.75,4.25,0.0
propnam gram made mexico seriou kraft,3.25,1.75,3.75,4.75,4.25,0.0
propnam golf live room sinc 1230 afternoon lol wii crazi,3.25,1.75,3.75,4.75,4.25,0.4215
excit holiday shop done excit nephew first holiday show tonight 3 3 3,3.25,1.75,3.75,4.75,4.25,0.6597
propnam love sweet potato vanilla ice cream best lol bout,3.25,1.75,3.75,4.75,4.25,0.9349
clean laundri bake cooki listen christma music,3.25,1.75,3.75,4.75,4.25,0.4019
love propnam first real snow day famili,3.25,1.75,3.75,4.75,4.25,0.6369
happi new year night night work 7 hour 3,3.25,1.75,3.75,4.75,4.25,0.0
excit french braid propnam hair lol,3.25,1.75,3.75,4.75,4.25,0.4215
love air condit right almost much brother propnam lol,3.25,1.75,3.75,4.75,4.25,0.7906
cant believ end past season dexter,3.25,1.75,3.75,4.75,4.25,0.0
noth like quiet peac watch sleep babi,3.25,1.75,3.75,4.75,4.25,0.3612
earli much,3.25,1.75,3.75,4.75,4.25,0.0
merri christma everyon,3.25,1.75,3.75,4.75,4.25,0.0
jf make pancak propnam cours jf coffe left sure want anyth jf black like soul sugar jf kid im sweet enough that 26 year 3 semper fi uncl propnam,3.25,1.75,3.75,4.75,4.25,0.7964
today time clean place get laundri done,3.25,1.75,3.75,4.75,4.25,0.4019
miss hubbi boy night 3 lol,3.25,1.75,3.75,4.75,4.25,0.296
feel better today 2010 kick booti depress two week,3.25,1.75,3.75,4.75,4.25,-0.0772
happi birthday lover boy best 3,3.25,1.75,3.75,4.75,4.25,0.8402
snow,3.25,1.75,3.75,4.75,4.25,0.0
cant get pictur rotat properli lol happi valentin day propnam togeth sinc 2002 marri 2006 3,3.25,1.75,3.75,4.75,4.25,0.4215
much fun propnam 4th birthday parti 3,3.25,1.75,3.75,4.75,4.25,0.5106
happi valentin day,3.25,1.75,3.75,4.75,4.25,0.0
would nice dog didnt bark everi night,3.25,1.75,3.75,4.75,4.25,0.4215
got earli today trip hamburg oh gosh 0710 cant wait hit sheet,3.45,2.55,3.15,3.5,2.9,0.0
ffm,3.45,2.55,3.15,3.5,2.9,0.0
dobrÃ© rÃ¡no,3.45,2.55,3.15,3.5,2.9,0.0
bloodi monday,3.45,2.55,3.15,3.5,2.9,0.0
first even shang hai,3.45,2.55,3.15,3.5,2.9,0.0
thx everyon send vpn tool block site access superb connect,3.45,2.55,3.15,3.5,2.9,0.5719
open bank account china went realli fast sign 6 document immedi print card pincod whole process took 25minut move apart today well good locat nice furnitur good view odd bathroom minimalist hallway,3.45,2.55,3.15,3.5,2.9,0.8126
9minut,3.45,2.55,3.15,3.5,2.9,0.0
excit day offic big lunch new team etc offic manag real sweetheart bit tomboy attitud rough cordial think fall love,3.45,2.55,3.15,3.5,2.9,0.8591
bloodi monday done 53minut,3.45,2.55,3.15,3.5,2.9,0.0
easi sunday,3.45,2.55,3.15,3.5,2.9,0.0
earli bird catch worm,3.45,2.55,3.15,3.5,2.9,0.0
superb,3.45,2.55,3.15,3.5,2.9,0.6249
lazi holiday,3.45,2.55,3.15,3.5,2.9,0.4019
merri christma love propnam xxxxxxxxxxxxxxxxxxxxxxxxxxxxx,3.45,2.55,3.15,3.5,2.9,0.6369
helsinki,3.45,2.55,3.15,3.5,2.9,0.0
someon download latest version anchorfre hotspotshield cant download stuff china seem imposs start annoy pleeeeeeeeeeeeeeas xxx love propnam,3.45,2.55,3.15,3.5,2.9,0.3182
final got zvisa winter,3.45,2.55,3.15,3.5,2.9,0.0
0058 midnight soooo tire,3.45,2.55,3.15,3.5,2.9,0.0
offici certifi teach english abroad find job,3.5,3.25,3.25,3.0,3.75,0.0
one hate new shakira song horribl,3.5,3.25,3.25,3.0,3.75,-0.5719
gooo gator,3.5,3.25,3.25,3.0,3.75,0.0
alway gunman usf campu didnt worri crap gainesvil,3.5,3.25,3.25,3.0,3.75,0.2924
get anxiou thailand money,3.5,3.25,3.25,3.0,3.75,0.0
look go gator game anyon sell ticket student non,3.5,3.25,3.25,3.0,3.75,0.0
got thailand korean air best airln ever sit 20 hour suck matter good movi,3.5,3.25,3.25,3.0,3.75,0.6486
go ot ko chang island hope ride eleph,3.5,3.25,3.25,3.0,3.75,0.4404
one lucki one get air condit internet apt thailand yay,3.5,3.25,3.25,3.0,3.75,0.5267
last day ko chang teach start monday,3.5,3.25,3.25,3.0,3.75,0.0
ive wonder one leav wall post figur yay,3.5,3.25,3.25,3.0,3.75,0.5267
yeah hot water,3.5,3.25,3.25,3.0,3.75,0.296
12 day count oh surrog suck save money unless want see crappi version robot,3.5,3.25,3.25,3.0,3.75,0.1531
teach 3 week final understand import coffe play peopl everyday live,3.5,3.25,3.25,3.0,3.75,0.34
never seen 10 year old 60 year old drive motorcycl steet today,3.5,3.25,3.25,3.0,3.75,0.0
watch news thai show pictur earth sun big comet like solar flare thing circl sun umm someth know need find bomb shelter news loop found us health bill pass facebook god sake,3.5,3.25,3.25,3.0,3.75,0.1027
tahtako small one speak english peopl friendli,3.5,3.25,3.25,3.0,3.75,0.0
lesson plan suck im procrastin,3.5,3.25,3.25,3.0,3.75,-0.4404
look forward reeeeealli long flight,3.5,3.25,3.25,3.0,3.75,0.0
3 day weekend go cha mai anyon go call us,3.5,3.25,3.25,3.0,3.75,0.0
woke 730 morn sun mother inform gator loss wasnt hungov probabl would cri still love gator,3.5,3.25,3.25,3.0,3.75,0.4404
im wonder make anoth 3 day sing head shoulder knee toe 10 time day,3.5,3.25,3.25,3.0,3.75,0.0
mash potato big hit thailand,3.5,3.25,3.25,3.0,3.75,0.0
love propnam cant believ die,3.5,3.25,3.25,3.0,3.75,0.8098
let live life propnam,3.5,3.25,3.25,3.0,3.75,0.0
well coordin depart today ran motorbik stair morn almost ate yet stair,3.5,3.25,3.25,3.0,3.75,0.2732
beach bang saphan didnt know much id miss water till got,3.5,3.25,3.25,3.0,3.75,-0.1531
feel like end era gator footbal lucki thank got go uf thank tebow thank urban,3.5,3.25,3.25,3.0,3.75,0.8402
oh bangkok miss ladi boy calypso show haha,3.5,3.25,3.25,3.0,3.75,0.34
class 40 kid 3 show rain would never fli florida,3.5,3.25,3.25,3.0,3.75,0.0
one homework assign one easi weekend class cant bring holi procrastin what wrong,3.5,3.25,3.25,3.0,3.75,-0.4767
avatar amaz love spend money see imax 3d promis worth,3.5,3.25,3.25,3.0,3.75,0.7269
watch rose bowl onlin isnt much fun keep refresh find happen last play go sec,3.5,3.25,3.25,3.0,3.75,-0.0777
yay friday,3.5,3.25,3.25,3.0,3.75,0.5267
could anymor bore,3.5,3.25,3.25,3.0,3.75,-0.25
cant wait februari start travel,3.5,3.25,3.25,3.0,3.75,0.0
hilari tri explain easter thai children yeah there rabbit come hous hide egg ye egg eat chocol that shape like rabbit egg that celebr resurrect jesu christ haha either realli confus look face laugh,3.5,3.25,3.25,3.0,3.75,0.8625
extrem attract girl who flirti person curvaci figur keep come back she typic brunett occasion act blond enjoy long relationship mani close guy friend often mistaken slut realli isnt also super bitch get onto bad side dude want hang girl she propnam haha,3.5,3.25,3.25,3.0,3.75,0.3239
celebr lookalik,3.5,3.25,3.25,3.0,3.75,0.0
kid class put frog anoth kid shirt today along branch frog frog leav branch fell shirt boy spent 5 minut tri catch frog teacher stood corner scream girl afraid frog frog peed boy caught thank god short school week,3.5,3.25,3.25,3.0,3.75,0.2263
laugh doctor cut thai good luck bracelet order put cast,3.5,3.25,3.25,3.0,3.75,0.8126
lame canada sorri neighbor north china open olymp ceremoni 2 year ago weak even propnam cant show 10000 sync drum chinamen glad us didnt get bid 2010 lol,3.5,3.25,3.25,3.0,3.75,0.0258
thank everybodi love,3.5,3.25,3.25,3.0,3.75,0.7717
well gotta clean laundri honey do,4.6,3.05,2.5,3.75,4.55,0.5859
wish curvebal would stop come soon,4.6,3.05,2.5,3.75,4.55,0.128
long restless night,4.6,3.05,2.5,3.75,4.55,-0.2732
wish beer tast better tonight,4.6,3.05,2.5,3.75,4.55,0.6808
get readi leav town weekend,4.6,3.05,2.5,3.75,4.55,0.0
couldnt sleep good last night realli hope dont start get tire middl day,4.6,3.05,2.5,3.75,4.55,0.1265
look forward list wife left,4.6,3.05,2.5,3.75,4.55,0.0
realli think may taken heavi work load class semest,4.6,3.05,2.5,3.75,4.55,0.0
day 1 patienc say noth unkind spous better say noth say someth regret later,4.6,3.05,2.5,3.75,4.55,-0.3612
tri sleep,4.6,3.05,2.5,3.75,4.55,0.0
kuwait soon fob warhors iraq,1.33,2.58,2.5,3.83,3.5,0.0
anyon want sing bakeri thursday night free food tip,2.25,2.75,3.25,3.5,4.5,0.5574
congratul propnam propnam,2.25,2.75,3.25,3.5,4.5,0.0
eeeeeehhhhhhhhh ppppppuuuuuuuuttttttoooooooo 10 mexico,2.25,2.75,3.25,3.5,4.5,0.0
mexico citi,2.25,2.75,3.25,3.5,4.5,0.0
yeah obama let fix thing,2.25,2.75,3.25,3.5,4.5,0.296
awesom night propnam propnam mexico citi two bottl mezcal later,2.25,2.75,3.25,3.5,4.5,0.0
propnam rock,2.25,2.75,3.25,3.5,4.5,0.0
propnam shop got strudel entir mayor offic,2.25,2.75,3.25,3.5,4.5,0.0
congratul propnam newest feder attorney depart justic,2.25,2.75,3.25,3.5,4.5,0.0
old email hack pleas disregard weird email got sorri,2.25,2.75,3.25,3.5,4.5,-0.4215
offici 1 best dessert la thank everyon vote,2.25,2.75,3.25,3.5,4.5,0.7717
workin sailboat today,2.25,2.75,3.25,3.5,4.5,0.0
new year resolut wait januari screw decemb month exercis daili fall asleep randomli without brush teeth eww clean room weekli save file name like adsvdsq finish task 75 deadlin motiv move 100 check save account time fail go go selfimprov,3.25,2.1,3.3,2.65,4.45,0.7717
bake room tt,3.25,2.1,3.3,2.65,4.45,0.0
yay left flash drive insid comput pack math lab yesterday call offic today ask check still go back sleep woke earli call anyon found zzzz,3.25,2.1,3.3,2.65,4.45,0.5267
know spiderman wake put glass realiz doesnt need anymor yeah today realiz contact,3.25,2.1,3.3,2.65,4.45,-0.2235
dream combin grudg twilight harri potter pokemon malfoy unseal grudg demon within bella bulbasaur jigglypuff save world wtf doesnt even make sens,3.25,2.1,3.3,2.65,4.45,0.1027
awak way long listen music way loudli,3.25,2.1,3.3,2.65,4.45,0.0
woke laugh think dream good thing zombi slow zombi drive car scream learn drive promptli crash wall,3.25,2.1,3.3,2.65,4.45,0.4767
facepalm person last use book underlin bold word well that get 5 retail price,3.25,2.1,3.3,2.65,4.45,0.5719
4m ive lie bed 2 hour raaage,3.25,2.1,3.3,2.65,4.45,0.0
need topic second uc prompt describ one word go,3.25,2.1,3.3,2.65,4.45,0.0
free ship downfal,3.25,2.1,3.3,2.65,4.45,0.5106
made uc app homepag stop procrastin wait ahhhh delet bookmark,3.25,2.1,3.3,2.65,4.45,-0.296
internet downtim end procrastin sinc 1996,3.25,2.1,3.3,2.65,4.45,0.0
bought mani thing cyber monday he memor credit card number,3.25,2.1,3.3,2.65,4.45,0.4404
got new chair dont know passiv lumbar support mean damn feel good,3.25,2.1,3.3,2.65,4.45,0.4404
hate lab writeup,3.25,2.1,3.3,2.65,4.45,-0.5719
dilemnia 3am want blast music speaker,3.25,2.1,3.3,2.65,4.45,0.0772
heard someon home depot ask worker thing make hole n shit lol,3.25,2.1,3.3,2.65,4.45,-0.2023
pass read narcolepsi yesterday,3.25,2.1,3.3,2.65,4.45,0.0
damn sens alway get way,3.25,2.1,3.3,2.65,4.45,-0.4019
came 45minut late c final still finish everyon els,3.25,2.1,3.3,2.65,4.45,0.0
buckybal want 6 hour back,3.25,2.1,3.3,2.65,4.45,0.0772
pain pain,3.25,2.1,3.3,2.65,4.45,-0.765
went run dollar store play propnam canon laugh entir time,3.25,2.1,3.3,2.65,4.45,0.7184
spent last 2 hour sit dark happili listen music way loudli 6am,3.25,2.1,3.3,2.65,4.45,0.0
6am cant sleep caus finish order part new comput excit im nerdi,3.25,2.1,3.3,2.65,4.45,0.0
saw transit ontario ca track inform thought go canada knew citi name ontario california x,3.25,2.1,3.3,2.65,4.45,0.0
comput case come south la everyth els come tennese get stare case noth 4 day propnam art thou cruel,3.25,2.1,3.3,2.65,4.45,-0.5859
mom found im atheist tri convert ahahaha,3.25,2.1,3.3,2.65,4.45,0.0
715 chem classss dieee collaps floor zzzzzzzzzzzz,3.25,2.1,3.3,2.65,4.45,0.0
10 day left basic train,4.5,1.75,4.5,4.75,4.75,0.0
tgif,4.5,1.75,4.5,4.75,4.75,0.5106
miss princess dearli,4.5,1.75,4.5,4.75,4.75,-0.1531
nan,4.5,1.75,4.5,4.75,4.75,0.0
dentist got medup percoset hellofadrug,4.5,1.75,4.5,4.75,4.75,0.0
im realli feel chicago winter right dunno ill make back texa fingertip,4.5,1.75,4.5,4.75,4.75,-0.4215
prepar mind long drive,4.5,1.75,4.5,4.75,4.75,0.0
woman came man rib feet walk head superior side equal arm protect next heart love,4.5,1.75,4.5,4.75,4.75,0.8834
prepar tryout start steeler season time year,4.0,2.75,3.67,4.25,4.5,0.0
yea cch jv start season win,4.0,2.75,3.67,4.25,4.5,0.5859
lazi day around hous famili left,4.0,2.75,3.67,4.25,4.5,0.0
cch jv girl rock els say mega shoutout propnam moral support tonight rockin program,4.0,2.75,3.67,4.25,4.5,0.4019
back,4.0,2.75,3.67,4.25,4.5,0.0
work sunday least steeler last night,4.0,2.75,3.67,4.25,4.5,0.0
jenna wed,4.0,2.75,3.67,4.25,4.5,0.0
go steeler go,4.0,2.75,3.67,4.25,4.5,0.0
anyon pitttsburgh area abl work poll tuesday ive got friend need help let know thank,4.0,2.75,3.67,4.25,4.5,0.8126
steeler steeler steeler,4.0,2.75,3.67,4.25,4.5,0.0
best boyfriend ever thank babe love,4.0,2.75,3.67,4.25,4.5,0.8979
work home wathc propnam game watch snow word lazi saturday come mind,4.0,2.75,3.67,4.25,4.5,0.0
ye misspel watch twice,4.0,2.75,3.67,4.25,4.5,0.0
wow great game even propnam lose hope 1 v 2 game tonight good,4.0,2.75,3.67,4.25,4.5,0.9001
realli two day row would like take back comment de ja vu didnt mean want end like,4.0,2.75,3.67,4.25,4.5,0.5828
absenc sharpen love presenc stregthen,4.0,2.75,3.67,4.25,4.5,0.6369
ita kinda like de ja vu work home wathc propnam steeler game snow still ground good thing know sunday,4.0,2.75,3.67,4.25,4.5,0.6258
put statu somebodi know suffer loss babi major wont put unlik cancer babi loss taboo break silenc memori angel babiesgon soon never forgotten show support let women know dont griev alon,4.0,2.75,3.67,4.25,4.5,-0.6341
woke jail togetherus four wordswhat would say copi past statu see funni thing friend sayand make comment gotta put statu fair fair,4.0,2.75,3.67,4.25,4.5,0.7783
rule world imagin,4.0,2.75,3.67,4.25,4.5,0.0
kind fallen even happen quickli,4.0,2.75,3.67,4.25,4.5,0.2263
steeler steeler steeler,4.0,2.75,3.67,4.25,4.5,0.0
old man still tri get smash sake tast like ass fire,3.4,3.85,4.5,2.95,3.75,-0.5267
final use facebook n_n feel strang,3.4,3.85,4.5,2.95,3.75,0.0
mmm waffl n_n,3.4,3.85,4.5,2.95,3.75,0.0
avril stuck head yesterday sing perform soooo sad,3.4,3.85,4.5,2.95,3.75,-0.6249
freez freakin ass dont want get bed anyth today,3.4,3.85,4.5,2.95,3.75,-0.575
propnam propnam offici two awesom peopl ever,3.4,3.85,4.5,2.95,3.75,0.0
toast n_n purr,3.4,3.85,4.5,2.95,3.75,0.0
marti liebich lol,3.4,3.85,4.5,2.95,3.75,0.4215
break heart part,3.4,3.85,4.5,2.95,3.75,0.0
give,3.4,3.85,4.5,2.95,3.75,0.0
mainstream day long kill,3.4,3.85,4.5,2.95,3.75,-0.6908
goddam celebr doubl thing drive crazi help,3.4,3.85,4.5,2.95,3.75,-0.2023
rememb seen nake guy run support squinti bridg last night hang wear sock pretti sight,3.65,2.7,3.1,3.25,2.7,0.4019
seen leaflet guy come build collect togeth leaflet 1520 went post leaflet post outward open letterbox look littl confus tri push back post back ahh fun piss peopl,3.65,2.7,3.1,3.25,2.7,0.1531
feel like crap temperatur though least swine flu least think,3.65,2.7,3.1,3.25,2.7,-0.4019
got pair degu last night alreadi caus issu uber cute though,3.65,2.7,3.1,3.25,2.7,0.5095
got reffer ent specialist get camera jam nose sinus pretti least may abl final get rid damn sinu infect,3.65,2.7,3.1,3.25,2.7,-0.4019
tri send doc bank person advisor trust email web access full access account financi person email worri,3.65,2.7,3.1,3.25,2.7,0.5106
gotta love 3 mobil ask cancel contract ask could convinc stay repli due terribl custom servic would rather die slow horribl pain death stay got friend rel would like refer get good deal want csr work compani retent depart,3.65,2.7,3.1,3.25,2.7,0.0
think must someth wrong trapez feel like went vasectomi tri windmil yesterday pain gain,3.65,2.7,3.1,3.25,2.7,-0.128
arghhh radio christma song alreadi bad bad bad news novemb,3.65,2.7,3.1,3.25,2.7,-0.8885
16kg explos nov 5 uk equiv 4th juli american hope luck thing make night time look like daytim bang,3.65,2.7,3.1,3.25,2.7,0.8126
tri weigh degu easi,3.65,2.7,3.1,3.25,2.7,0.0
never crab squid musccl scallop anchovi pizza howev suprisingli good,3.65,2.7,3.1,3.25,2.7,0.4404
whilst may understand histori behind thanksgiv get behind holiday consist huge amount food alcohol friend happi thanksgiv american friend anyon els today excus us take part cultur divers get drunk stuf lot food,3.65,2.7,3.1,3.25,2.7,0.8402
think need assembl hord fli panda color monki wreck havock world buy milk,3.65,2.7,3.1,3.25,2.7,-0.4404
handl scope thing shove nose throat handl ct scan blood taken still cant deal,3.65,2.7,3.1,3.25,2.7,0.0
allow give kid nut halloween got kid far awar peopl havnet becom allerg last 20 year amount,3.65,2.7,3.1,3.25,2.7,0.2263
hate facebook messag alway look like wait person messag back see infact time person messag back 6 hour ago sigh,3.65,2.7,3.1,3.25,2.7,-0.2732
discov teddi bear move aerial anyth cute fluffi evil sore like noth cut blood extremati,3.65,2.7,3.1,3.25,2.7,-0.5423
current work way harri potter box set cant say dont excit weekend,3.65,2.7,3.1,3.25,2.7,0.0
know 6 sick peopl moment im sick im go find one come watch,3.65,2.7,3.1,3.25,2.7,-0.765
happi jul norway dont celebr chriastma much julaften prechristma that peopl get pressi russia 5th jan dont know could wait long,3.65,2.7,3.1,3.25,2.7,0.0
love much fun non newtonian fluid,3.65,2.7,3.1,3.25,2.7,0.8176
turkey offici drunk inject enough alcohol didnt eat itd aa rub secret spice drizzl bacon silversid joint slowli cook 7 hour 15 minut break back cook,3.65,2.7,3.1,3.25,2.7,-0.34
brother gave unicycl xma im wonder pre book appoint ae save time,3.65,2.7,3.1,3.25,2.7,0.4939
hack appletv remov wifi chip replac broadcom h264 hardwar decod chip stream blu ray movi 1080p fileserv tv,3.65,2.7,3.1,3.25,2.7,0.0
realis miss aerial class start thought next week start doh,3.65,2.7,3.1,3.25,2.7,-0.1531
think new appl tablet pc ipad sound like high tech sanitari devic,3.65,2.7,3.1,3.25,2.7,0.3612
merri christma everyon,3.65,2.7,3.1,3.25,2.7,0.0
beef sausag 40 beef lie,3.65,2.7,3.1,3.25,2.7,0.0
made spice haddock trim green bean coconut rice coconut chilli sauc mmm,3.65,2.7,3.1,3.25,2.7,0.0
time fire life im livin,3.0,3.15,2.95,3.55,4.8,-0.34
cuando la vida misma te ha puesto en un aprieto quÃ© es lo que se debe hacer,3.0,3.15,2.95,3.55,4.8,0.34
que es lo que en realidad se debe de hacer lo que el corazÃ³n dicta lo que la razon te dice,3.0,3.15,2.95,3.55,4.8,0.0
es momento de aprend dejar ir la cosa por favor que aquella luz guÃ­a mÃ­a lleve lo lugar indicado,3.0,3.15,2.95,3.55,4.8,0.4019
oscilando entr la infinidad de la ment la infinidad del sueÃ±o,3.0,3.15,2.95,3.55,4.8,0.0
